food_id,food_name,food_type,meal_id,serving_weight,serving_weight_unit,serving_volume,serving_volume_unit,serving_qty,serving_qty_unit,serving_summary,nutrition_calories_kj,nutrition_fat_g_total,nutrition_fat_g_trans,nutrition_fat_g_sat,nutrition_fat_g_other,nutrition_carb_g_total,nutrition_carb_g_not_fibre,nutrition_carb_g_sugar,nutrition_carb_g_fibre,nutrition_carb_g_other,nutrition_protein_g,nutrition_potassium,nutrition_sodium
food_id INTEGER,food_name TEXT,food_type TEXT,meal_id INTEGER,serving_weight INTEGER,serving_weight_unit TEXT,serving_volume REAL,serving_volume_unit TEXT,serving_qty INTEGER,serving_qty_unit TEXT,serving_summary TEXT,nutrition_calories_kj INTEGER,nutrition_fat_g_total REAL,nutrition_fat_g_trans REAL,nutrition_fat_g_sat REAL,nutrition_fat_g_other REAL,nutrition_carb_g_total REAL,nutrition_carb_g_not_fibre REAL,nutrition_carb_g_sugar REAL,nutrition_carb_g_fibre REAL,nutrition_carb_g_other REAL,nutrition_protein_g REAL,nutrition_potassium INTEGER,nutrition_sodium INTEGER
33,"Milk 1%","beverage",-1,-1,-1,-1.00,-1.00,-1.00,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,"almonds","nut",-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",170,16,-1,1,15,5,2,1,3,1,-1,220,-1
35,"guacamole","spread",-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",91,8,1,-1,7,5,-1,-1,-1,5,-1,277,-1
36,"turkish figs","dried fruit",-1,40,"g",-1,-1,2,"pieces","40g/2pieces",120,-1,-1,-1,-1,28,6,22,-1,-1,1,-1,40
37,"burgers","meat",-1,4,"oz",-1,-1,-1,-1,"4oz/",243,17,1.1,6.6,9.3,-1,-1,-1,-1,-1,21,334,75
38,"wf hearth boule","bread",-1,50,"g",-1.00,-1.00,-1.00,-1.00,"50g/",157,1,-1,-1,-1,30,26,1,4,25,6,-1,260
39,"kale","leafy green",-1,-1,-1,2.25,"cup",-1,-1,"2.25cup/",45,0.5,-1,-1,-1,9,6,-1,2,7,3,-1,35
40,"chia","nut",-1,-1,-1,1,"tsp",-1,-1,"1tsp/",77,5,-1,0.4,4.4,6,-1,-1,7,-1,3,1,-1
41,"olive oil",-1,-1,-1,-1,1,"tbsp",-1,-1,"1tbsp/",120,14,-1,2,12,-1,-1,-1,-1,-1,-1,-1,-1
42,"scalions",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",5,-1,-1,-1,-1,1.1,-0.7,0.3,0.4,-1,-1,41,2
43,"cheddar cheese",-1,-1,28,"g",-1,-1,1,"slice","28g/1slice",113,9,-1,6,3,-1,-1,-1,-1,-1,7,174,27
44,"tomato soup",-1,-1,-1,-1,1,"cup",-1,-1,"1cup/",74,-1,-1,-1,-1,16,-1,10,1.5,4.5,2,278,471
45,"mixed nuts","nut",-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",180,16,-1,2.5,13.5,7,5,2,1,3,5,-1,-1
46,"pumpkin seeds","nut",-1,-1,-1,1,"cup",-1,-1,"1cup/",285,12.3,-1,2.3,10,34,21,-1,12,22,12,-1,-1
47,"marmite","spread",-1,-1,-1,1,"tsp",-1,-1,"1tsp/",9,-1,-1,-1,-1,1,-1,-1,-1,-1,2,216,-1
48,"Sweetcorn & tomato salad","salad",-1,-1,-1,1,"cup",-1,-1,"1cup/",120,2,-1,-1,-1,27,-1,-1,-1,-1,5,25,350
49,"dd old fashioned donut","cake",-1,-1,-1,-1,-1,1,"pieces","1pieces",320,22,-1,10,12,33,8,9,1,-1,3,-1,300
50,"peach","fruit",-1,-1,-1,-1,-1,1,"pieces","1pieces",59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,"pear","fruit",-1,-1,-1,-1,-1,1,"pieces","1pieces",102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,"chicken thighs","poultry",-1,-1,-1,-1,-1,1,"pieces","1pieces",206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,"wf multigrain","poultry",-1,43,"g",-1,-1,-1,-1,"43g/",100,1,-1,-1,-1,20,-1,-1,-1,-1,3,40,-1
54,"shredded sharp cheddar","dairy",-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",110,9,-1,6,-1,1,-2,-1,1,-1,6,-1,170
55,"ham slices","meat",-1,45,"g",-1,-1,-1,-1,"45g/",50,1.5,-1,-1,-1,1,-1,-1,-1,-1,8,-1,410
56,"yoghurt pretzels",-1,-1,-1,-1,-1,-1,7,"pieces","7pieces",200,7,-1,7,-1,29,28,19,1,9,3,-1,263
57,"yakiniku","meat",-1,5,"oz",-1,-1,-1,-1,"5oz/",275,13,-1,8,5,-1,-1,-1,-1,-1,28,-1,81
58,"brocoli tempura","vegetable",-1,-1,-1,-1,-1,1,"pieces","1pieces",348,0.2,-1,-1,-1,3.5,-1,-1,-1,-1,2,-1,18
59,"deglet dates","dried fruit",-1,-1,-1,-1,-1,6,"pieces","6pieces",120,-1,-1,-1,-1,30,-1,-1,-1,-1,1,-1,-1
60,"smashfries","vegetable",-1,-1,-1,-1,-1,1,"pieces","1pieces",680,34,-1,-1,-1,86,80,-1,5,81,6,-1,-1
61,"classic smash","cake",-1,-1,-1,-1,-1,1,"pieces","1pieces",840,56,-1,24,-1,45,43,-1,2,-1,40,-1,2000
62,"baskin kids","meat",-1,-1,-1,-1,-1,1,"pieces","1pieces",110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,"smash chicken","meat",-1,-1,-1,-1,-1,1,"pieces","1pieces",430,18,-1,5,-1,38,35,3,3,32,29,-1,1400
64,"wf italian sausage","meat",-1,660,"oz",0.25,"cup",-1,-1,"660oz/0.25cup/",300,22,-1,8,-1,1,-1,-1,-1,-1,18,300,850
65,"ricotta","dairy",-1,62,"g",-1,-1,-1,-1,"62g/",116,8,-1,4,-1,2,-1,2,-1,-1,8,-1,62
66,"mozarella","dairy",-1,-1,-1,0.5,"cup",-1,-1,"0.5cup/",160,10,-1,6,-1,-1,-1,-1,-1,-1,16,-1,340
67,"tomato pasta sauce","condiment",-1,-1,-1,1,"cup",-1,-1,"1cup/",160,2,-1,-1,-1,26,26,14,-1,12,6,-1,920
68,"dr turkey baguette","bread",-1,-1,-1,-1,-1,1,"pieces","1pieces",440,14,-1,4,-1,49,49,9,-1,40,26,-1,1205
69,"black mission figs","dried fruit",-1,-1,-1,-1,-1,8,"pieces","8pieces",110,-1,-1,-1,-1,26,26,20,6,-1,1,-1,-1
70,"wholewheat bagel","bread",-1,-1,-1,-1,-1,1,"pieces","1pieces",300,1.47,-1,0.225,-1,61.33,61.33,1.9,-1,-1,10.9,198,534
71,"provolone","dairy",-1,1,"oz",-1,-1,1,"pieces","1oz/1pieces",98,7.5,-1,4.8,-1,0.6,-2,-1,-1,-1,7.2,38.6,245
72,"smyrna figs","dried fruit",-1,-1,-1,-1,-1,3,"pieces","3pieces",110,-1,-1,-1,-1,28,24,24,4,-1,2,-1,15
73,"pasta sheets",-1,-1,-1,-1,-1,-1,3,"pieces","3pieces",200,1,-1,-1,-1,41,38,1,2,-1,7,-1,-1
74,"apple","fruit",-1,-1,-1,-1,-1,1,"pieces","1pieces",56,-1,-1,-1,-1,14,11.5,11,2.5,-1,-1,113,-1
75,"seven grain demi loaf","bread",-1,-1,-1,-1,-1,1,"pieces","1pieces",75,3,-1,-1,-1,27,25,3,2,-1,5,-1,350
76,"beef franks","meat",-1,-1,-1,-1,-1,1,"pieces","1pieces",160,15,-1,6,-1,-1,-1,-1,-1,-1,6,-1,550
77,"sweetcorn","vegetable",-1,-1,-1,0.66,"cup",-1,-1,"0.66cup/",100,1,-1,-1,-1,21,20,7,1,-1,3,-1,-1
78,"pineapple","fruit",-1,-1,-1,1,"cup",-1,-1,"1cup/",50,-1,-1,-1,-1,13,11.5,10,1.4,-1,0.5,109,-1
79,"halkidiki lives","vegetable",-1,-1,-1,-1,-1,3,"pieces","3pieces",5,2.5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,280
80,"tomato","vegetable",-1,-1,-1,-1,-1,1,"pieces","1pieces",22,0.2,-1,-1,-1,5,3.5,3.5,1.5,-1,1.1,292,6
81,"rye pumpernickle","bread",-1,41,"g",-1,-1,1,"pieces","41g/1pieces",100,0.5,-1,-1,-1,20,17,2,3,-1,3,-1,200
82,"flax seed bread","bread",-1,45,"g",-1,-1,2,"pieces","45g/2pieces",100,2,-1,-1,-1,18,13,1,5,-1,6,-1,100
83,"baby kale, chard, spin","salad",-1,-1,-1,-1,-1,1,"pieces","1pieces",50,-1,-1,-1,-1,9,6,1,3,-1,4,630,160
84,"romaine lettuce","salad",-1,-1,-1,-1,-1,6,"pieces","6pieces",15,-1,-1,-1,-1,3,1,1,2,-1,1,-1,5
85,"lentils green whole","vegetable",-1,50,"g",0.25,"cup",-1,-1,"50g/0.25cup/",170,-1,-1,-1,-1,30,16,2,14,-1,12,-1,-1
86,"quinoa red","vegetable",-1,42,"g",0.25,"cup",-1,-1,"42g/0.25cup/",160,2.5,-1,-1,-1,30,27,3,3,-1,6,-1,-1
87,"peanut butter","spread",-1,-1,-1,2,"tbsp",-1,-1,"2tbsp/",200,18,-1,3.5,-1,6,4,1,2,-1,7,190,130
