food_id,food_name,food_type,meal_id,serving_weight,serving_weight_unit,serving_volume,serving_volume_unit,serving_qty,serving_qty_unit,serving_summary,nutrition_calories_kj,nutrition_fat_g_total,nutrition_fat_g_trans,nutrition_fat_g_sat,nutrition_fat_g_other,nutrition_carb_g_total,nutrition_carb_g_not_fibre,nutrition_carb_g_sugar,nutrition_carb_g_fibre,nutrition_carb_g_other,nutrition_protein_g,nutrition_potassium,nutrition_sodium
food_id INTEGER,food_name TEXT,food_type TEXT,meal_id INTEGER,serving_weight INTEGER,serving_weight_unit TEXT,serving_volume REAL,serving_volume_unit TEXT,serving_qty INTEGER,serving_qty_unit TEXT,serving_summary TEXT,nutrition_calories_kj INTEGER,nutrition_fat_g_total REAL,nutrition_fat_g_trans REAL,nutrition_fat_g_sat REAL,nutrition_fat_g_other REAL,nutrition_carb_g_total REAL,nutrition_carb_g_not_fibre REAL,nutrition_carb_g_sugar REAL,nutrition_carb_g_fibre REAL,nutrition_carb_g_other REAL,nutrition_protein_g REAL,nutrition_potassium INTEGER,nutrition_sodium INTEGER
127,"quinoa lemon, herb & onion",-1,-1,-1,-1,1,"cup",-1,-1,"1cup/",200,4,-1,-1,-1,38,32,1,6,-1,8,-1,20
128,"egg","poultry",-1,50,"g",-1,-1,1,"egg","50g/1egg",78,4,-1,1.6,3.4,-1.4,-0.4,0.6,-1,-1,6,63,62
129,"arugula",-1,-1,-1,-1,0.5,"cup",-1,-1,"0.5cup/",3,0.1,-1,-1,-1,0.4,0.2,0.2,0.2,-1,0.3,3,37
130,"pretzels – gluten free",-1,-1,-1,-1,-1,-1,35,"pieces","35pieces",110,1.5,-1,-1,-1,25,24,-1,1,-1,-1,-1,260
131,"gruyere",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",116,9,-1,-1,-1,0.1,-1,-1,-1,-1,8,23,94
132,"ww bread gluten free",-1,-1,-1,-1,-1,-1,2,"pieces","2pieces",140,4,-1,-1,-1,24,22,2,2,-1,4,-1,290
133,"irish bangers",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",140,11,-1,-1,-1,2,2,-1,-1,-1,9,-1,480
134,"rice cakes",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",60,0.5,-1,-1,-1,14,13,-1,1,-1,1,-1,35
135,"quinoa paprika",-1,-1,-1,-1,1,"cup",-1,-1,"1cup/",220,4,-1,-1,-1,39,32,3,7,-1,8,-1,30
136,"turkey slices cracked pepper",-1,-1,-1,-1,-1,-1,4,"pieces","4pieces",70,2,-1,-1,-1,1,-1,-1,-1,-1,11,250,260
137,"tofu extra firm",-1,-1,85,"g",-1,-1,-1,-1,"85g/",80,4,-1,-1,-1,3,2,-1,1,-1,9,-1,15
138,"red cheddar",-1,-1,28,"g",-1,-1,-1,-1,"28g/",110,9.6,-1,-1,-1,1,-1,-1,-1,-1,7,-1,160
139,"baby spinach",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,"choc dark quinoa",-1,-1,-1,-1,-1,-1,5,"pieces","5pieces",210,15,-1,-1,-1,22,19,16,3,-1,2,-1,-1
141,"chicken sausage",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",120,6,-1,-1,-1,7,7,5,-1,-1,11,-1,400
142,"parmesan shredded",-1,-1,-1,-1,1,"tbsp",-1,-1,"1tbsp/",20,1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,40
143,"red quinoa",-1,-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",160,2.5,-1,-1,-1,30,27,3,3,-1,6,-1,-1
144,"strawberry jelly",-1,-1,-1,-1,1,"tbsp",-1,-1,"1tbsp/",50,0,-1,-1,-1,13,13,13,-1,-1,0,-1,-1
145,"fat free milk",-1,-1,-1,-1,1,"cup",-1,-1,"1cup/",90,0,-1,-1,-1,12,12,12,-1,-1,8,370,125
146,"kosher salt",-1,-1,-1,-1,0.25,"tsp",-1,-1,"0.25tsp/",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,480
147,"brown rice",-1,-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",190,1.5,-1,-1,-1,39,37,-1,2,-1,4,-1,0
148,"pnut rice cake","meal",3,-1,-1,0.5,"cup",-1,-1,"0.5cup/","Err:502","",-1,-1,-1,"","",-1,"pnut rice cake",-1,3,-1,-1
149,"maple syrup",-1,-1,-1,-1,4,"tbsp",-1,-1,"4tbsp/",200,1.5,-1,-1,-1,53,53,53,-1,-1,-1,-1,-1
150,"walnuts",-1,-1,-1,-1,0.25,"cup",-1,-1,"0.25cup/",190,18,-1,-1,-1,4,2,-1,2,-1,-1,-1,-1
151,"walnut rice cake","meal",4,-1,-1,0.5,"cup",-1,-1,"0.5cup/","Err:502","",-1,-1,-1,"","",-1,"walnut rice cake",-1,4,-1,-1
152,"red pepper",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",37,0.4,-1,-1,-1,7,4.5,5,2.5,-1,1,251,5
153,"butter",-1,-1,14.2,"g",1,"tbsp",-1,-1,"14.2g/1tbsp/",102,12,-1,-1,-1,0,0,0,0,-1,0,3,2
154,"strawberry sorbet",-1,-1,100,"g",-1,-1,-1,-1,"100g/",100,-1,-1,-1,-1,25,24,24,1,-1,0,0,0
155,"banana sandwich","meal",5,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"banana sandwich",-1,5,-1,-1
156,"green beans",-1,-1,-1,-1,1,"cup",-1,-1,"1cup/",100,-1,-1,-1,-1,25,24,24,1,-1,0,0,0
157,"amish tofu quinoa","meal",6,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"amish tofu quinoa",-1,6,-1,-1
158,"olives",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",4,0,-1,-1,-1,0,-1,-1,0,-1,0,0,24
159,"egg tom on toast","meal",7,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"egg tom on toast",-1,7,-1,-1
160,"chicken and rice","meal",8,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"chicken and rice",-1,8,-1,-1
161,"baked potato and turkey","meal",9,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"baked potato and turkey",-1,9,-1,-1
162,"blueberries",-1,-1,-1,-1,1,"cup",-1,-1,"1cup/",85,1,-1,-1,-1,21,17,15,4,-1,1,114,1
163,"marmalade",-1,-1,-1,-1,1,"tbsp",-1,-1,"1tbsp/",40,0,-1,-1,-1,10,10,10,0,-1,0,-1,5
164,"marmalade on toast","meal",10,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"marmalade on toast",-1,10,-1,-1
164,"rice and eggs","meal",11,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"rice and eggs",-1,11,-1,-1
165,"rice cake and marmite","meal",12,-1,-1,-1,-1,1,"pieces","52g/1pieces","Err:502","",-1,-1,-1,"","",-1,"rice cake and marmite",-1,12,-1,-1
166,"cucumber",-1,-1,52,"g",-1,-1,-1,-1,"52g/",8,0,-1,-1,-1,2,2,1,0,-1,0,76,1
167,"turkey cucumber sandwich","meal",13,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"turkey and cucumber sandwich",-1,13,-1,-1
168,"rice cake and marmalade","meal",14,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"rice cake and marmalade",-1,14,-1,-1
169,"steak and rice","meal",15,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"steak and rice",-1,15,-1,-1
