Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force per revolution [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [°]	Total left angle to force peak [°]	Right angle to force peak [°]	Total right angle to force peak [°]
1	0:00:00.97	0:00:00.97	1	62	62	62	1	33.82254	33.82254	9.11	9.11	171	171	171	142	142	239	142	24	24	01:46.43	01:46.43	157	157	157	1	1	204	0.2	152	0.2	52	52	48	48	00:00.25	00:00.25	00:00.26	00:00.26	94	94	96	96
2	0:00:00.94	0:00:01.91	2	64	64	63	1	34.50425	34.15804	9.01	18.12	172	172	171	146	146	260	144	25	24	01:44.33	01:45.38	165	165	161	1	1	206	0.4	155	0.3	56	54	44	46	00:00.25	00:00.25	00:00.23	00:00.24	96	95	88	92
3	0:00:00.91	0:00:02.82	3	66	66	64	1	35.62898	34.63271	9.01	27.13	172	172	172	154	154	252	147	26	25	01:41.04	01:43.90	180	180	167	1	1	212	0.6	164	0.5	52	53	48	47	00:00.25	00:00.25	00:00.27	00:00.25	100	96	106	96
4	0:00:00.88	0:00:03.70	4	68	68	65	1	36.17808	35.00026	8.84	35.97	172	172	172	155	155	259	149	26	25	01:39.50	01:42.79	188	188	172	1	1	212	0.8	165	0.6	53	53	47	47	00:00.24	00:00.24	00:00.24	00:00.25	98	97	98	97
5	0:00:00.86	0:00:04.56	5	70	70	66	1	36.04970	35.19818	8.61	44.58	172	172	172	150	155	250	149	25	25	01:39.86	01:42.21	186	188	175	1	1	205	1.0	160	0.8	53	53	47	47	00:00.19	00:00.23	00:00.23	00:00.24	80	94	96	97
6	0:00:00.86	0:00:05.42	6	70	70	66	1	36.78010	35.44918	8.79	53.37	169	172	171	158	158	249	151	27	26	01:37.87	01:41.48	197	197	178	1	1	214	1.3	169	1.0	50	53	50	47	00:00.22	00:00.23	00:00.22	00:00.24	92	93	92	96
7	0:00:00.85	0:00:06.27	7	71	71	67	1	36.21743	35.55333	8.55	61.92	171	172	171	150	158	252	151	26	26	01:39.39	01:41.18	189	197	180	1	1	205	1.5	160	1.1	52	53	48	47	00:00.22	00:00.23	00:00.21	00:00.23	94	93	88	95
8	0:00:00.85	0:00:07.12	8	71	71	67	1	36.30051	35.64253	8.57	70.49	172	172	171	151	158	232	151	26	26	01:39.17	01:40.94	190	197	181	1	1	206	1.7	161	1.3	48	52	52	48	00:00.23	00:00.23	00:00.25	00:00.23	99	94	105	96
9	0:00:00.86	0:00:07.98	9	70	71	68	1	35.60993	35.63902	8.51	79.00	169	172	171	145	158	231	150	25	25	01:41.09	01:40.95	180	197	181	1	1	200	1.9	155	1.4	50	52	50	48	00:00.21	00:00.22	00:00.21	00:00.23	88	93	88	95
10	0:00:00.85	0:00:08.83	10	71	71	68	1	36.57187	35.72882	8.64	87.63	167	172	171	154	158	247	150	26	26	01:38.43	01:40.70	194	197	182	1	1	209	2.1	165	1.6	51	52	49	48	00:00.19	00:00.22	00:00.23	00:00.23	81	92	96	95
