Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force per revolution [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [°]	Total left angle to force peak [°]	Right angle to force peak [°]	Total right angle to force peak [°]
1	0:00:01.40	0:00:01.40	1	43	43	43	1	27.27165	27.27165	10.61	10.61	162	162	162	115	115	211	115	20	20	02:12.00	02:12.00	88	88	88	0	0	202	0.2	123	0.1	50	50	50	50	00:00.31	00:00.31	00:00.36	00:00.36	78	78	95	95
2	0:00:01.30	0:00:02.70	2	46	46	44	1	27.18139	27.22819	9.82	20.42	164	164	163	106	115	208	110	18	19	02:12.44	02:12.21	87	88	87	0	0	187	0.4	113	0.2	46	48	54	52	00:00.30	00:00.30	00:00.33	00:00.34	83	80	91	93
3	0:00:01.25	0:00:03.95	3	48	48	46	1	27.87677	27.43344	9.68	30.10	160	164	162	109	115	217	110	18	19	02:09.13	02:11.21	93	93	89	0	0	187	0.6	116	0.4	45	47	55	53	00:00.29	00:00.30	00:00.32	00:00.33	83	81	93	93
4	0:00:01.20	0:00:05.15	4	50	50	47	1	28.56175	27.69635	9.52	39.62	160	164	161	111	115	204	110	19	19	02:06.04	02:09.93	99	99	91	1	0	187	0.8	119	0.5	47	47	53	53	00:00.30	00:00.30	00:00.31	00:00.33	90	83	93	93
5	0:00:01.16	0:00:06.31	5	52	52	48	1	29.54297	28.03582	9.52	49.14	160	164	161	118	118	218	112	20	19	02:01.85	02:08.30	109	109	95	1	0	191	1.0	126	0.6	48	47	52	53	00:00.28	00:00.29	00:00.33	00:00.33	87	84	102	95
6	0:00:01.11	0:00:07.42	6	54	54	49	1	30.58302	28.41687	9.43	58.57	160	164	161	124	124	228	113	21	19	01:57.71	02:06.48	119	119	98	1	1	194	1.1	132	0.7	51	48	49	52	00:00.26	00:00.29	00:00.28	00:00.32	84	84	92	94
7	0:00:01.09	0:00:08.51	7	55	55	49	1	30.32607	28.66141	9.18	67.75	157	164	160	119	124	216	114	20	19	01:58.70	02:05.38	117	119	101	1	1	188	1.3	127	0.9	48	48	52	52	00:00.25	00:00.28	00:00.28	00:00.31	83	84	92	94
8	0:00:01.07	0:00:09.58	8	56	56	50	1	31.18211	28.94295	9.27	77.02	157	164	160	126	126	239	116	21	20	01:55.45	02:04.11	126	126	103	1	1	194	1.5	135	1.0	49	48	51	52	00:00.25	00:00.28	00:00.27	00:00.31	83	84	92	94
9	0:00:01.03	0:00:10.61	9	58	58	51	1	32.09603	29.24905	9.18	86.20	157	164	160	131	131	235	117	22	20	01:52.16	02:02.73	136	136	107	1	1	196	1.7	140	1.1	49	48	51	52	00:00.24	00:00.27	00:00.26	00:00.30	83	84	92	94
10	0:00:01.04	0:00:11.65	10	58	58	52	1	30.97829	29.40342	8.95	95.15	156	164	159	120	131	227	117	20	20	01:56.21	02:02.09	124	136	108	1	1	186	1.9	129	1.3	47	48	53	52	00:00.24	00:00.27	00:00.26	00:00.30	83	84	90	93
