Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force per revolution [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [°]	Total left angle to force peak [°]	Right angle to force peak [°]	Total right angle to force peak [°]
1	0:00:01.02	0:00:01.02	1	59	59	59	1	31.69648	31.69648	8.98	8.98	170	170	170	126	126	217	126	21	21	01:53.57	01:53.57	131	131	131	1	1	190	0.2	134	0.1	52	52	48	48	00:00.20	00:00.20	00:00.19	00:00.19	72	72	66	66
2	0:00:00.99	0:00:02.01	2	61	61	60	1	33.34122	32.50657	9.17	18.15	171	171	170	140	140	226	133	24	23	01:47.97	01:50.68	151	151	141	1	1	203	0.4	149	0.3	53	52	47	48	00:00.21	00:00.20	00:00.21	00:00.20	76	74	77	71
3	0:00:00.96	0:00:02.97	3	63	63	61	1	33.95820	32.97579	9.06	27.21	171	171	171	142	142	242	136	24	23	01:46.01	01:49.09	158	158	147	1	1	204	0.6	152	0.4	52	52	48	48	00:00.21	00:00.20	00:00.22	00:00.20	79	75	83	75
4	0:00:00.95	0:00:03.92	4	63	63	61	1	33.49563	33.10177	8.84	36.04	169	171	170	136	142	239	136	23	23	01:47.47	01:48.69	153	158	148	1	1	196	0.8	145	0.6	53	52	47	48	00:00.20	00:00.20	00:00.23	00:00.21	77	76	86	78
5	0:00:00.94	0:00:04.86	5	64	64	62	1	33.49457	33.17774	8.75	44.79	169	171	170	134	142	238	135	23	23	01:47.48	01:48.45	153	158	149	1	1	194	1.0	143	0.7	48	51	52	49	00:00.23	00:00.21	00:00.24	00:00.21	88	78	92	80
6	0:00:02.77	0:00:07.63	6	22	64	47	0	17.81483	27.60038	13.71	58.50	170	171	170	72	142	324	112	12	19	03:22.07	02:03.45	28	158	105	0	1	242	1.2	77	0.8	--	51	--	49	--	00:00.21	--	00:00.21	--	78	--	80
7	0:00:01.19	0:00:08.82	7	50	64	48	1	30.31637	27.96682	10.02	68.52	166	171	169	130	142	233	115	22	19	01:58.74	02:02.77	117	158	106	1	1	205	1.4	139	0.9	54	52	46	48	00:00.31	00:00.22	00:00.32	00:00.23	93	81	98	84
8	0:00:01.09	0:00:09.91	8	55	64	48	1	31.43583	28.34838	9.52	78.04	168	171	169	131	142	220	116	22	20	01:54.51	02:01.75	129	158	109	1	1	200	1.6	140	1.1	52	52	48	48	00:00.25	00:00.23	00:00.27	00:00.24	82	81	90	85
9	0:00:01.04	0:00:10.95	9	58	64	49	1	31.64805	28.66177	9.14	87.18	167	171	169	127	142	225	118	22	20	01:53.75	02:00.90	131	158	111	1	1	193	1.8	136	1.2	53	52	47	48	00:00.24	00:00.23	00:00.28	00:00.24	83	81	97	86
10	0:00:01.03	0:00:11.98	10	58	64	50	1	32.12718	28.95972	9.19	96.37	167	171	169	131	142	219	119	22	20	01:52.05	02:00.03	136	158	113	1	1	197	2.0	140	1.4	51	52	49	48	00:00.24	00:00.23	00:00.26	00:00.24	83	82	92	87
11	0:00:01.00	0:00:12.98	11	60	64	51	1	32.66603	29.24526	9.07	105.45	164	171	168	134	142	225	120	23	20	01:50.20	01:59.16	143	158	115	1	1	197	2.2	143	1.5	51	52	49	48	00:00.21	00:00.23	00:00.25	00:00.24	76	81	90	87
12	0:00:00.97	0:00:13.95	12	62	64	52	1	33.19308	29.51977	8.94	114.39	164	171	168	135	142	226	121	23	21	01:48.45	01:58.28	149	158	118	1	1	197	2.4	144	1.6	51	52	49	48	00:00.22	00:00.22	00:00.27	00:00.24	83	81	99	88
13	0:00:00.97	0:00:14.92	13	62	64	52	1	33.53414	29.78075	9.04	123.42	166	171	168	139	142	240	122	24	21	01:47.35	01:57.44	153	158	120	1	1	201	2.6	149	1.8	49	52	51	48	00:00.21	00:00.22	00:00.24	00:00.24	77	81	90	88
14	0:00:00.95	0:00:15.87	14	63	64	53	1	33.88982	30.02673	8.94	132.37	168	171	168	140	142	248	123	24	21	01:46.22	01:56.64	158	158	122	1	1	201	2.8	150	1.9	49	51	51	49	00:00.21	00:00.22	00:00.26	00:00.24	80	81	98	89
15	0:00:00.94	0:00:16.81	15	64	64	54	1	33.25334	30.20716	8.68	141.05	167	171	168	132	142	236	124	22	21	01:48.25	01:56.10	150	158	124	1	1	192	3.0	141	2.1	47	51	53	49	00:00.21	00:00.22	00:00.25	00:00.24	82	81	94	89
16	0:00:00.96	0:00:17.77	16	63	64	54	1	33.12712	30.36490	8.83	149.88	170	171	168	133	142	258	124	23	21	01:48.67	01:55.65	148	158	125	1	1	194	3.2	142	2.2	44	51	56	49	00:00.22	00:00.22	00:00.24	00:00.24	83	81	90	89
17	0:00:00.94	0:00:18.71	17	64	64	55	1	33.94190	30.54461	8.86	158.75	168	171	168	139	142	242	125	24	21	01:46.06	01:55.09	158	158	127	1	1	199	3.4	149	2.4	49	51	51	49	00:00.25	00:00.22	00:00.25	00:00.24	96	82	96	90
18	0:00:00.93	0:00:19.64	18	65	65	55	1	34.12853	30.71432	8.82	167.56	168	171	168	140	142	257	126	24	21	01:45.48	01:54.56	161	161	128	1	1	199	3.6	149	2.5	48	50	52	50	00:00.21	00:00.22	00:00.23	00:00.24	80	82	90	90
19	0:00:00.93	0:00:20.57	19	65	65	55	1	33.91693	30.85912	8.76	176.33	164	171	168	137	142	244	126	23	21	01:46.14	01:54.12	158	161	130	1	1	197	3.8	147	2.7	49	50	51	50	00:00.21	00:00.22	00:00.25	00:00.24	82	82	96	90
20	0:00:00.92	0:00:21.49	20	65	65	56	1	34.40454	31.01090	8.79	185.12	170	171	168	141	142	256	127	24	22	01:44.63	01:53.65	164	164	131	1	1	200	4.0	151	2.8	48	50	52	50	00:00.23	00:00.22	00:00.24	00:00.24	92	82	92	90
21	0:00:00.91	0:00:22.40	21	66	66	56	1	34.45835	31.15095	8.71	193.83	165	171	168	140	142	252	127	24	22	01:44.47	01:53.21	165	165	133	1	1	199	4.2	150	3.0	48	50	52	50	00:00.20	00:00.22	00:00.23	00:00.24	80	82	90	90
22	0:00:00.91	0:00:23.31	22	66	66	57	1	34.61199	31.28607	8.75	202.58	166	171	168	142	142	245	128	24	22	01:44.01	01:52.80	167	167	134	1	1	200	4.4	152	3.1	48	50	52	50	00:00.24	00:00.22	00:00.24	00:00.24	96	83	94	90
23	0:00:00.90	0:00:24.21	23	67	67	57	1	34.68577	31.41245	8.67	211.25	165	171	167	141	142	240	128	24	22	01:43.78	01:52.41	168	168	135	1	1	199	4.6	151	3.3	50	50	50	50	00:00.20	00:00.22	00:00.25	00:00.24	82	83	98	91
24	0:00:00.90	0:00:25.11	24	67	67	57	1	34.98922	31.54065	8.75	220.00	166	171	167	145	145	257	129	25	22	01:42.88	01:52.01	172	172	137	1	1	202	4.8	155	3.4	49	50	51	50	00:00.23	00:00.22	00:00.24	00:00.24	92	83	96	91
25	0:00:00.89	0:00:26.00	25	67	67	58	1	35.29069	31.66902	8.72	228.72	165	171	167	147	147	275	130	25	22	01:42.00	01:51.60	176	176	138	1	1	204	5.0	156	3.6	48	50	52	50	00:00.22	00:00.22	00:00.24	00:00.24	90	83	96	91
26	0:00:00.89	0:00:26.89	26	67	67	58	1	34.85285	31.77439	8.62	237.34	165	171	167	142	147	253	130	24	22	01:43.29	01:51.28	170	176	139	1	1	199	5.2	151	3.7	48	50	52	50	00:00.22	00:00.22	00:00.23	00:00.24	90	84	92	91
27	0:00:00.89	0:00:27.78	27	67	67	58	1	34.90750	31.87477	8.63	245.97	162	171	167	142	147	256	130	24	22	01:43.12	01:50.98	171	176	140	1	1	199	5.4	152	3.9	49	50	51	50	00:00.21	00:00.22	00:00.24	00:00.24	86	84	96	91
28	0:00:00.89	0:00:28.67	28	67	67	59	1	35.09915	31.97486	8.68	254.64	165	171	167	144	147	256	131	25	22	01:42.56	01:50.68	173	176	141	1	1	201	5.6	154	4.0	47	50	53	50	00:00.22	00:00.22	00:00.24	00:00.24	90	84	96	91
29	0:00:00.88	0:00:29.55	29	68	68	59	1	35.43469	32.07790	8.66	263.31	161	171	167	146	147	258	131	25	22	01:41.59	01:50.37	178	178	142	1	1	203	5.8	156	4.2	49	50	51	50	00:00.21	00:00.22	00:00.22	00:00.24	86	84	90	91
30	0:00:00.87	0:00:30.42	30	69	69	59	1	35.76230	32.18327	8.64	271.95	163	171	167	148	148	263	132	25	22	01:40.66	01:50.04	182	182	143	1	1	204	6.0	159	4.4	49	50	51	50	00:00.21	00:00.22	00:00.24	00:00.24	88	84	98	92
31	0:00:00.88	0:00:31.30	31	68	69	59	1	35.20618	32.26826	8.61	280.55	163	171	167	144	148	251	132	24	22	01:42.25	01:49.79	175	182	144	1	1	200	6.2	154	4.5	47	50	53	50	00:00.21	00:00.22	00:00.22	00:00.24	86	84	90	92
32	0:00:00.87	0:00:32.17	32	69	69	60	1	36.09600	32.37178	8.72	289.28	164	171	166	152	152	268	133	26	23	01:39.73	01:49.46	187	187	145	1	1	208	6.4	163	4.7	49	50	51	50	00:00.20	00:00.22	00:00.24	00:00.24	84	84	98	92
33	0:00:00.86	0:00:33.03	33	70	70	60	1	35.63195	32.45666	8.51	297.79	164	171	166	145	152	269	133	25	23	01:41.03	01:49.21	180	187	146	1	1	200	6.6	155	4.8	47	49	53	51	00:00.21	00:00.22	00:00.22	00:00.24	88	84	92	92
34	0:00:00.87	0:00:33.90	34	69	70	60	1	35.59599	32.53723	8.60	306.39	164	171	166	147	152	257	133	25	23	01:41.13	01:48.97	180	187	147	1	1	202	6.8	157	5.0	49	49	51	51	00:00.20	00:00.21	00:00.24	00:00.24	84	84	98	92
35	0:00:00.87	0:00:34.77	35	69	70	60	1	35.23268	32.60467	8.51	314.91	160	171	166	143	152	250	134	24	23	01:42.17	01:48.78	175	187	148	1	1	198	7.0	152	5.1	49	49	51	51	00:00.21	00:00.21	00:00.23	00:00.24	88	84	94	92
36	0:00:00.87	0:00:35.64	36	69	70	61	1	35.41905	32.67337	8.56	323.47	163	171	166	145	152	256	134	25	23	01:41.64	01:48.58	178	187	148	1	1	200	7.2	154	5.3	49	49	51	51	00:00.21	00:00.21	00:00.24	00:00.24	88	84	98	92
37	0:00:00.86	0:00:36.50	37	70	70	61	1	36.44096	32.76214	8.71	332.17	160	171	166	154	154	258	134	26	23	01:38.78	01:48.31	192	192	149	1	1	210	7.4	165	5.5	50	49	50	51	00:00.20	00:00.21	00:00.22	00:00.24	84	84	92	92
38	0:00:00.86	0:00:37.36	38	70	70	61	1	36.19445	32.84115	8.65	340.82	160	171	166	152	154	260	135	26	23	01:39.46	01:48.07	188	192	150	1	1	207	7.6	162	5.6	50	49	50	51	00:00.21	00:00.21	00:00.24	00:00.24	88	85	100	92
39	0:00:00.85	0:00:38.21	39	71	71	61	1	35.84410	32.90796	8.46	349.28	160	171	166	146	154	255	135	25	23	01:40.43	01:47.88	183	192	151	1	1	201	7.8	156	5.8	49	49	51	51	00:00.21	00:00.21	00:00.21	00:00.24	90	85	88	92
40	0:00:00.86	0:00:39.07	40	70	71	61	1	35.84886	32.97269	8.56	357.85	160	171	165	148	154	259	135	25	23	01:40.42	01:47.69	183	192	152	1	1	203	8.0	158	5.9	50	49	50	51	00:00.21	00:00.21	00:00.22	00:00.23	88	85	92	92
41	0:00:00.86	0:00:39.93	41	70	71	62	1	35.70400	33.03152	8.53	366.37	160	171	165	146	154	259	136	25	23	01:40.82	01:47.52	181	192	152	1	1	201	8.2	156	6.1	49	49	51	51	00:00.21	00:00.21	00:00.23	00:00.23	88	85	96	92
42	0:00:00.86	0:00:40.79	42	70	71	62	1	36.14361	33.09713	8.63	375.01	159	171	165	151	154	263	136	26	23	01:39.60	01:47.33	188	192	153	1	1	206	8.4	161	6.2	47	49	53	51	00:00.21	00:00.21	00:00.22	00:00.23	88	85	92	92
43	0:00:00.86	0:00:41.65	43	70	71	62	1	36.66538	33.17081	8.76	383.77	163	171	165	157	157	271	136	27	23	01:38.18	01:47.11	195	195	154	1	1	212	8.7	168	6.4	46	49	54	51	00:00.25	00:00.21	00:00.23	00:00.23	105	85	96	92
44	0:00:00.84	0:00:42.49	44	71	71	62	1	35.61147	33.21906	8.31	392.08	159	171	165	142	157	233	136	24	23	01:41.09	01:46.98	180	195	155	1	1	196	8.9	151	6.6	52	49	48	51	00:00.18	00:00.21	00:00.19	00:00.23	79	85	80	92
45	0:00:00.87	0:00:43.36	45	69	71	62	1	34.39652	33.24268	8.31	400.39	159	171	165	134	157	224	136	23	23	01:44.66	01:46.93	164	195	155	1	1	189	9.0	143	6.7	50	49	50	51	00:00.21	00:00.21	00:00.24	00:00.23	90	85	96	92
46	0:00:00.87	0:00:44.23	46	69	71	62	1	35.91459	33.29524	8.68	409.07	161	171	165	150	157	240	137	26	23	01:40.23	01:46.78	184	195	155	1	1	206	9.3	160	6.9	51	49	49	51	00:00.20	00:00.21	00:00.22	00:00.23	84	85	90	92
47	0:00:00.87	0:00:45.10	47	69	71	63	1	35.62922	33.34026	8.61	417.68	160	171	165	147	157	250	137	25	23	01:41.04	01:46.66	180	195	156	1	1	203	9.5	157	7.0	53	50	47	50	00:00.20	00:00.21	00:00.24	00:00.23	84	85	98	92
48	0:00:00.88	0:00:45.98	48	68	71	63	1	35.43782	33.38041	8.66	426.34	158	171	164	146	157	244	137	25	23	01:41.58	01:46.55	178	195	156	1	1	203	9.7	156	7.2	50	50	50	50	00:00.22	00:00.21	00:00.22	00:00.23	90	85	90	92
