Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force per revolution [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [°]	Total left angle to force peak [°]	Right angle to force peak [°]	Total right angle to force peak [°]
1	0:00:00.69	0:00:00.69	1	87	87	87	2	41.74268	41.74268	8.00	8.00	137	137	137	179	179	279	179	30	30	01:26.24	01:26.24	277	277	277	1	1	224	0.2	191	0.2	51	51	49	49	00:00.19	00:00.19	00:00.19	00:00.19	98	98	101	101
2	0:00:00.71	0:00:01.40	2	85	87	86	2	41.35311	41.54511	8.16	16.16	138	138	137	179	179	282	179	31	30	01:27.05	01:26.65	270	277	273	1	1	226	0.5	192	0.4	51	51	49	49	00:00.19	00:00.19	00:00.19	00:00.19	98	98	95	98
3	0:00:00.71	0:00:02.11	3	85	87	85	2	40.29918	41.12587	7.95	24.10	138	138	138	167	179	249	175	28	30	01:29.33	01:27.51	252	277	266	1	1	214	0.7	179	0.6	50	51	50	49	00:00.17	00:00.18	00:00.19	00:00.19	87	94	95	97
4	0:00:00.71	0:00:02.82	4	85	87	85	2	41.31379	41.17318	8.15	32.25	138	138	138	179	179	272	176	30	30	01:27.13	01:27.42	269	277	267	1	1	226	0.9	191	0.8	50	51	50	49	00:00.18	00:00.18	00:00.20	00:00.19	93	94	100	98
5	0:00:00.70	0:00:03.52	5	86	87	85	2	41.52542	41.24323	8.07	40.33	140	140	138	179	179	278	177	30	30	01:26.69	01:27.27	273	277	268	1	1	225	1.1	191	0.9	52	51	48	49	00:00.19	00:00.18	00:00.20	00:00.19	98	95	103	99
6	0:00:00.71	0:00:04.23	6	85	87	85	2	40.98497	41.19988	8.08	48.41	137	140	138	175	179	262	176	30	30	01:27.83	01:27.36	264	277	267	1	1	222	1.3	187	1.1	51	51	49	49	00:00.21	00:00.18	00:00.21	00:00.19	105	96	108	100
7	0:00:00.72	0:00:04.95	7	83	87	85	1	40.42873	41.08771	8.09	56.50	137	140	138	171	179	292	176	29	30	01:29.04	01:27.60	254	277	265	1	1	218	1.6	183	1.3	47	50	53	50	00:00.19	00:00.18	00:00.18	00:00.19	95	96	90	99
8	0:00:00.71	0:00:05.66	8	85	87	85	2	41.35069	41.12070	8.16	64.65	138	140	138	179	179	285	176	31	30	01:27.06	01:27.53	270	277	266	1	1	226	1.8	192	1.5	49	50	51	50	00:00.19	00:00.18	00:00.20	00:00.19	98	96	100	99
9	0:00:00.71	0:00:06.37	9	85	87	85	2	40.83773	41.08916	8.05	72.70	138	140	138	173	179	279	176	29	30	01:28.15	01:27.60	261	277	265	1	1	220	2.0	185	1.7	50	50	50	50	00:00.19	00:00.18	00:00.19	00:00.19	98	97	95	98
10	0:00:00.70	0:00:07.07	10	86	87	85	2	42.07103	41.18637	8.18	80.89	137	140	138	185	185	295	177	32	30	01:25.56	01:27.39	283	283	267	1	1	232	2.2	198	1.9	49	50	51	50	00:00.18	00:00.18	00:00.19	00:00.19	93	96	98	98
11	0:00:00.69	0:00:07.76	11	87	87	85	2	42.55453	41.30803	8.16	89.04	137	140	138	188	188	305	178	32	30	01:24.59	01:27.13	292	292	269	2	1	234	2.5	201	2.1	52	50	48	50	00:00.19	00:00.18	00:00.18	00:00.19	98	96	95	98
12	0:00:00.69	0:00:08.45	12	87	87	85	2	41.76838	41.34562	8.01	97.05	137	140	138	179	188	293	178	30	30	01:26.18	01:27.05	277	292	270	1	1	225	2.7	191	2.3	49	50	51	50	00:00.18	00:00.18	00:00.19	00:00.19	93	96	101	98
13	0:00:00.69	0:00:09.14	13	87	87	85	2	41.81111	41.38076	8.01	105.06	139	140	138	180	188	285	178	31	30	01:26.10	01:26.98	278	292	271	1	1	225	2.9	192	2.5	50	50	50	50	00:00.18	00:00.18	00:00.18	00:00.19	93	96	95	98
14	0:00:00.69	0:00:09.83	14	87	87	85	2	41.54007	41.39194	7.96	113.02	140	140	138	177	188	284	178	30	30	01:26.66	01:26.95	273	292	271	1	1	222	3.1	189	2.7	50	50	50	50	00:00.19	00:00.18	00:00.19	00:00.19	101	96	98	98
15	0:00:00.69	0:00:10.52	15	87	87	86	2	42.14256	41.44117	8.08	121.10	140	140	138	184	188	287	178	31	30	01:25.42	01:26.85	284	292	272	1	1	229	3.4	196	2.9	50	50	50	50	00:00.19	00:00.18	00:00.19	00:00.19	98	96	101	98
16	0:00:00.69	0:00:11.21	16	87	87	86	2	41.79076	41.46269	8.01	129.11	139	140	138	179	188	287	178	31	30	01:26.14	01:26.81	278	292	272	1	1	225	3.6	192	3.1	50	50	50	50	00:00.18	00:00.18	00:00.19	00:00.19	93	96	101	98
17	0:00:00.69	0:00:11.90	17	87	87	86	2	41.95364	41.49116	8.04	137.15	141	141	138	181	188	287	179	31	30	01:25.80	01:26.75	281	292	273	1	1	227	3.8	194	3.2	49	50	51	50	00:00.18	00:00.18	00:00.18	00:00.19	93	96	95	98
18	0:00:00.69	0:00:12.59	18	87	87	86	2	41.76317	41.50607	8.00	145.16	141	141	138	179	188	287	179	30	30	01:26.20	01:26.72	277	292	273	1	1	225	4.0	191	3.4	48	50	52	50	00:00.18	00:00.18	00:00.20	00:00.19	95	96	103	98
19	0:00:00.69	0:00:13.28	19	87	87	86	2	41.87169	41.52506	8.03	153.18	140	141	139	180	188	291	179	31	30	01:25.97	01:26.68	279	292	273	1	1	226	4.3	193	3.6	50	50	50	50	00:00.18	00:00.18	00:00.19	00:00.19	95	96	98	98
20	0:00:00.69	0:00:13.97	20	87	87	86	2	41.94950	41.54603	8.04	161.22	141	141	139	181	188	295	179	31	30	01:25.81	01:26.63	281	292	274	1	1	227	4.5	194	3.8	50	50	50	50	00:00.18	00:00.18	00:00.18	00:00.19	95	96	93	98
21	0:00:00.68	0:00:14.65	21	88	88	86	2	42.14088	41.57364	7.96	169.18	142	142	139	181	188	289	179	31	30	01:25.42	01:26.58	284	292	274	1	1	226	4.7	193	4.0	50	50	50	50	00:00.17	00:00.18	00:00.19	00:00.19	90	95	101	98
22	0:00:00.69	0:00:15.34	22	87	88	86	2	41.57013	41.57348	7.97	177.15	142	142	139	177	188	278	179	30	30	01:26.60	01:26.58	274	292	274	1	1	222	4.9	189	4.2	50	50	50	50	00:00.18	00:00.18	00:00.19	00:00.19	95	95	98	98
23	0:00:00.68	0:00:16.02	23	88	88	86	2	42.85541	41.62789	8.09	185.24	142	142	139	189	189	294	179	32	30	01:24.00	01:26.46	297	297	275	2	1	234	5.2	202	4.4	51	50	49	50	00:00.17	00:00.18	00:00.18	00:00.19	90	95	95	98
24	0:00:00.68	0:00:16.70	24	88	88	86	2	42.21904	41.65196	7.97	193.22	143	143	139	182	189	285	179	31	30	01:25.26	01:26.41	286	297	275	1	1	227	5.4	194	4.6	50	50	50	50	00:00.19	00:00.18	00:00.19	00:00.19	101	95	101	98
25	0:00:00.69	0:00:17.39	25	87	88	86	2	41.33792	41.63950	7.92	201.14	141	143	139	174	189	264	179	30	30	01:27.08	01:26.44	270	297	275	1	1	220	5.6	186	4.8	49	50	51	50	00:00.18	00:00.18	00:00.19	00:00.19	95	95	98	98
26	0:00:00.69	0:00:18.08	26	87	88	86	2	42.25990	41.66318	8.10	209.24	141	143	139	185	189	281	179	31	31	01:25.18	01:26.39	286	297	276	1	1	231	5.9	198	5.0	48	50	52	50	00:00.19	00:00.18	00:00.19	00:00.19	101	96	98	98
27	0:00:00.67	0:00:18.75	27	90	90	86	2	43.23359	41.71930	8.05	217.29	142	143	139	191	191	284	180	32	31	01:23.26	01:26.27	305	305	277	2	1	236	6.1	204	5.2	50	50	50	50	00:00.19	00:00.18	00:00.19	00:00.19	104	96	101	98
28	0:00:00.68	0:00:19.43	28	88	90	86	2	41.99402	41.72891	7.93	225.22	143	143	140	179	191	262	180	30	31	01:25.72	01:26.25	282	305	277	1	1	224	6.3	191	5.4	51	50	49	50	00:00.19	00:00.18	00:00.18	00:00.18	101	96	95	98
29	0:00:00.67	0:00:20.10	29	90	90	87	2	42.34239	41.74936	7.88	233.10	145	145	140	181	191	283	180	31	31	01:25.02	01:26.21	288	305	277	1	1	225	6.5	193	5.6	52	50	48	50	00:00.17	00:00.18	00:00.19	00:00.18	93	96	101	98
30	0:00:00.68	0:00:20.78	30	88	90	87	2	42.18194	41.76352	7.97	241.07	143	145	140	181	191	287	180	31	31	01:25.34	01:26.18	285	305	277	1	1	226	6.8	194	5.8	50	50	50	50	00:00.18	00:00.18	00:00.18	00:00.18	95	96	95	98
31	0:00:00.68	0:00:21.46	31	88	90	87	2	42.45309	41.78537	8.02	249.09	145	145	140	185	191	282	180	31	31	01:24.79	01:26.13	290	305	278	2	1	230	7.0	197	6.0	49	50	51	50	00:00.18	00:00.18	00:00.19	00:00.18	95	96	101	98
32	0:00:00.68	0:00:22.14	32	88	90	87	2	41.94103	41.79015	7.92	257.01	143	145	140	179	191	277	180	30	31	01:25.83	01:26.12	281	305	278	1	1	223	7.2	191	6.2	50	50	50	50	00:00.17	00:00.18	00:00.20	00:00.18	93	96	103	98
33	0:00:00.68	0:00:22.82	33	88	90	87	2	41.83699	41.79154	7.90	264.91	143	145	140	177	191	274	180	30	31	01:26.04	01:26.12	279	305	278	1	1	222	7.4	189	6.3	49	50	51	50	00:00.18	00:00.18	00:00.19	00:00.18	98	96	98	98
34	0:00:00.68	0:00:23.50	34	88	90	87	2	42.70824	41.81807	8.07	272.98	145	145	140	188	191	288	180	32	31	01:24.29	01:26.07	295	305	278	2	1	233	7.7	200	6.5	50	50	50	50	00:00.20	00:00.18	00:00.18	00:00.18	106	96	95	98
35	0:00:00.67	0:00:24.17	35	90	90	87	2	42.82911	41.84610	7.97	280.95	145	145	140	186	191	284	180	32	31	01:24.05	01:26.01	297	305	279	2	1	231	7.9	199	6.7	50	50	50	50	00:00.19	00:00.18	00:00.18	00:00.18	104	96	95	98
36	0:00:00.68	0:00:24.85	36	88	90	87	2	41.81412	41.84522	7.90	288.85	144	145	141	177	191	281	180	30	31	01:26.09	01:26.01	278	305	279	1	1	222	8.1	189	6.9	50	50	50	50	00:00.18	00:00.18	00:00.19	00:00.18	95	96	101	98
37	0:00:00.68	0:00:25.53	37	88	90	87	2	41.77208	41.84327	7.89	296.74	146	146	141	177	191	280	180	30	31	01:26.18	01:26.01	277	305	279	1	1	222	8.4	189	7.1	49	50	51	50	00:00.18	00:00.18	00:00.20	00:00.18	95	96	106	98
38	0:00:00.69	0:00:26.22	38	87	90	87	2	41.34647	41.83020	7.92	304.66	144	146	141	174	191	268	180	30	31	01:27.06	01:26.04	270	305	279	1	1	220	8.6	186	7.3	50	50	50	50	00:00.19	00:00.18	00:00.18	00:00.18	98	96	95	98
39	0:00:00.69	0:00:26.91	39	87	90	87	2	41.82279	41.83001	8.02	312.68	144	146	141	180	191	280	180	31	31	01:26.07	01:26.04	278	305	279	1	1	225	8.8	192	7.5	51	50	49	50	00:00.19	00:00.18	00:00.18	00:00.18	98	96	95	98
