Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force per revolution [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [°]	Total left angle to force peak [°]	Right angle to force peak [°]	Total right angle to force peak [°]
1	0:00:00.63	0:00:00.63	1	95	95	95	2	37.26652	37.26652	6.52	6.52	130	130	130	120	120	209	120	20	20	01:36.60	01:36.60	204	204	204	1	1	161	0.2	128	0.1	42	42	58	58	00:00.14	00:00.14	00:00.19	00:00.19	84	84	104	104
2	0:00:00.66	0:00:01.29	2	91	95	93	2	39.56409	38.44202	7.25	13.78	131	131	130	148	148	266	134	25	23	01:30.99	01:33.57	240	240	222	1	1	191	0.4	158	0.3	44	43	56	57	00:00.16	00:00.15	00:00.21	00:00.20	90	87	111	107
3	0:00:00.68	0:00:01.97	3	88	95	91	2	44.08474	40.38976	8.33	22.10	129	131	130	204	204	330	159	35	27	01:21.66	01:28.75	321	321	256	2	1	250	0.6	218	0.5	51	46	49	54	00:00.20	00:00.16	00:00.21	00:00.20	106	94	111	109
4	0:00:00.66	0:00:02.63	4	91	95	91	2	45.34926	41.63435	8.31	30.42	131	131	130	214	214	343	173	36	29	01:19.38	01:26.01	347	347	279	2	1	259	0.9	229	0.7	52	47	48	53	00:00.20	00:00.17	00:00.19	00:00.20	109	98	104	107
5	0:00:00.66	0:00:03.29	5	91	95	91	2	45.42125	42.39403	8.33	38.74	131	131	130	215	215	331	181	37	31	01:19.25	01:24.48	348	348	293	2	2	259	1.1	230	1.0	49	48	51	52	00:00.18	00:00.17	00:00.19	00:00.19	98	98	104	107
6	0:00:00.65	0:00:03.94	6	92	95	91	2	44.81622	42.79363	8.09	46.84	132	132	131	204	215	323	185	35	31	01:20.32	01:23.74	336	348	300	2	2	248	1.4	218	1.2	49	48	51	52	00:00.18	00:00.17	00:00.19	00:00.19	101	98	104	106
7	0:00:00.65	0:00:04.59	7	92	95	92	2	44.85824	43.08601	8.10	54.93	131	132	131	205	215	330	188	35	32	01:20.25	01:23.21	337	348	305	2	2	248	1.6	219	1.4	51	48	49	52	00:00.18	00:00.17	00:00.19	00:00.19	101	99	104	106
8	0:00:00.65	0:00:05.24	8	92	95	92	2	44.85893	43.30593	8.10	63.03	132	132	131	205	215	320	190	35	32	01:20.25	01:22.82	337	348	309	2	2	248	1.9	219	1.6	50	49	50	51	00:00.17	00:00.17	00:00.19	00:00.19	96	98	104	106
9	0:00:00.66	0:00:05.90	9	91	95	92	2	43.90271	43.37269	8.05	71.08	132	132	131	196	215	315	191	33	32	01:21.99	01:22.73	317	348	310	2	2	240	2.1	210	1.8	51	49	49	51	00:00.19	00:00.17	00:00.19	00:00.19	104	99	104	105
10	0:00:00.66	0:00:06.56	10	91	95	91	2	44.30581	43.46657	8.12	79.21	131	132	131	201	215	306	192	34	33	01:21.25	01:22.57	325	348	311	2	2	245	2.3	215	2.0	51	49	49	51	00:00.19	00:00.17	00:00.20	00:00.19	107	100	106	105
11	0:00:00.66	0:00:07.22	11	91	95	91	2	44.90746	43.59828	8.23	87.44	132	132	131	209	215	337	193	35	33	01:20.16	01:22.34	338	348	314	2	2	253	2.6	223	2.3	51	49	49	51	00:00.18	00:00.17	00:00.19	00:00.19	98	100	104	105
12	0:00:00.66	0:00:07.88	12	91	95	91	2	44.37889	43.66367	8.14	95.57	132	132	131	202	215	331	194	34	33	01:21.11	01:22.24	327	348	315	2	2	246	2.8	216	2.5	49	49	51	51	00:00.18	00:00.17	00:00.19	00:00.19	101	100	101	105
13	0:00:00.66	0:00:08.54	13	91	95	91	2	44.13126	43.69980	8.09	103.67	134	134	131	199	215	309	194	34	33	01:21.57	01:22.19	322	348	316	2	2	243	3.1	213	2.7	49	49	51	51	00:00.17	00:00.17	00:00.20	00:00.19	96	99	106	105
14	0:00:00.66	0:00:09.20	14	91	95	91	2	44.44059	43.75295	8.15	111.81	131	134	131	203	215	318	195	34	33	01:21.00	01:22.10	328	348	316	2	2	247	3.3	217	2.9	50	49	50	51	00:00.17	00:00.17	00:00.19	00:00.19	93	99	104	105
15	0:00:00.66	0:00:09.86	15	91	95	91	2	44.30793	43.79010	8.12	119.94	133	134	131	201	215	327	195	34	33	01:21.24	01:22.04	325	348	317	2	2	245	3.6	215	3.1	50	49	50	51	00:00.18	00:00.17	00:00.19	00:00.19	98	99	104	105
16	0:00:00.66	0:00:10.52	16	91	95	91	2	44.64435	43.84369	8.18	128.12	132	134	131	205	215	338	196	35	33	01:20.63	01:21.95	332	348	318	2	2	249	3.8	219	3.3	51	49	49	51	00:00.19	00:00.17	00:00.20	00:00.19	104	99	109	105
17	0:00:00.66	0:00:11.18	17	91	95	91	2	44.67444	43.89273	8.19	136.31	132	134	132	206	215	324	197	35	33	01:20.58	01:21.87	333	348	319	2	2	250	4.1	220	3.6	49	49	51	51	00:00.19	00:00.17	00:00.19	00:00.19	104	99	104	105
18	0:00:00.65	0:00:11.83	18	92	95	91	2	44.94591	43.95060	8.12	144.43	133	134	132	206	215	324	197	35	33	01:20.09	01:21.76	338	348	320	2	2	249	4.3	220	3.8	50	49	50	51	00:00.18	00:00.17	00:00.19	00:00.19	101	100	104	105
19	0:00:00.66	0:00:12.49	19	91	95	91	2	43.92489	43.94924	8.05	152.48	134	134	132	196	215	310	197	33	33	01:21.95	01:21.77	318	348	320	2	2	240	4.6	210	4.0	50	49	50	51	00:00.19	00:00.18	00:00.20	00:00.19	104	100	109	105
20	0:00:00.66	0:00:13.15	20	91	95	91	2	44.09340	43.95648	8.08	160.56	134	134	132	198	215	320	197	34	34	01:21.64	01:21.77	321	348	320	2	2	243	4.8	212	4.2	49	49	51	51	00:00.20	00:00.18	00:00.20	00:00.19	109	100	109	105
21	0:00:00.67	0:00:13.82	21	90	95	91	2	43.57104	43.93779	8.11	168.67	134	134	132	195	215	315	197	33	33	01:22.62	01:21.81	311	348	319	2	2	240	5.1	208	4.4	47	49	53	51	00:00.20	00:00.18	00:00.18	00:00.19	109	101	95	105
22	0:00:00.65	0:00:14.47	22	92	95	91	2	45.57967	44.01154	8.23	176.90	136	136	132	214	215	321	198	36	34	01:18.98	01:21.67	351	351	321	2	2	258	5.3	228	4.6	50	49	50	51	00:00.17	00:00.18	00:00.19	00:00.19	96	100	104	105
23	0:00:00.66	0:00:15.13	23	91	95	91	2	43.83564	44.00387	8.04	184.94	136	136	132	195	215	301	198	33	34	01:22.12	01:21.69	316	351	321	2	2	239	5.6	209	4.9	51	49	49	51	00:00.19	00:00.18	00:00.19	00:00.19	104	101	104	105
24	0:00:00.66	0:00:15.79	24	91	95	91	2	44.26344	44.01472	8.11	193.05	137	137	132	201	215	307	198	34	34	01:21.33	01:21.68	325	351	321	2	2	245	5.8	214	5.1	51	49	49	51	00:00.17	00:00.18	00:00.19	00:00.19	93	100	104	105
25	0:00:00.66	0:00:16.45	25	91	95	91	2	44.45577	44.03242	8.15	201.20	137	137	133	203	215	333	198	34	34	01:20.97	01:21.65	328	351	321	2	2	247	6.0	217	5.3	52	50	48	50	00:00.19	00:00.18	00:00.19	00:00.19	104	100	104	105
26	0:00:00.66	0:00:17.11	26	91	95	91	2	44.31194	44.04320	8.12	209.33	137	137	133	201	215	322	198	34	34	01:21.24	01:21.63	326	351	321	2	2	245	6.3	215	5.5	50	50	50	50	00:00.19	00:00.18	00:00.20	00:00.19	107	101	106	105
27	0:00:00.66	0:00:17.77	27	91	95	91	2	44.19123	44.04870	8.10	217.43	138	138	133	200	215	307	198	34	34	01:21.46	01:21.63	323	351	321	2	2	244	6.5	213	5.7	50	50	50	50	00:00.17	00:00.18	00:00.19	00:00.19	96	100	101	105
28	0:00:00.66	0:00:18.43	28	91	95	91	2	43.91595	44.04394	8.05	225.48	139	139	133	196	215	315	198	33	34	01:21.97	01:21.64	318	351	321	2	2	240	6.8	210	5.9	50	50	50	50	00:00.17	00:00.18	00:00.19	00:00.19	93	100	104	104
29	0:00:00.66	0:00:19.09	29	91	95	91	2	44.50394	44.05985	8.16	233.64	139	139	133	204	215	328	198	35	34	01:20.89	01:21.61	329	351	322	2	2	248	7.0	217	6.1	50	50	50	50	00:00.19	00:00.18	00:00.20	00:00.19	104	100	109	105
30	0:00:00.67	0:00:19.76	30	90	95	91	2	43.51482	44.04137	8.10	241.74	140	140	134	194	215	328	198	33	34	01:22.73	01:21.65	310	351	321	2	2	239	7.3	208	6.3	51	50	49	50	00:00.19	00:00.18	00:00.19	00:00.19	104	100	101	105
31	0:00:00.66	0:00:20.42	31	91	95	91	2	44.27431	44.04890	8.12	249.86	142	142	134	201	215	316	198	34	34	01:21.31	01:21.64	325	351	321	2	2	245	7.5	214	6.6	52	50	48	50	00:00.18	00:00.18	00:00.18	00:00.19	98	100	98	104
32	0:00:00.67	0:00:21.09	32	90	95	91	2	43.79391	44.04079	8.15	258.01	141	142	134	198	215	321	198	34	34	01:22.20	01:21.65	315	351	321	2	2	242	7.7	211	6.8	51	50	49	50	00:00.19	00:00.18	00:00.20	00:00.19	104	100	106	104
33	0:00:00.66	0:00:21.75	33	91	95	91	2	44.78940	44.06351	8.21	266.22	143	143	134	207	215	328	198	35	34	01:20.37	01:21.61	335	351	322	2	2	251	8.0	221	7.0	50	50	50	50	00:00.19	00:00.18	00:00.19	00:00.19	104	101	104	104
34	0:00:00.66	0:00:22.41	34	91	95	91	2	44.23996	44.06871	8.11	274.33	143	143	135	200	215	320	199	34	34	01:21.37	01:21.61	324	351	322	2	2	244	8.2	214	7.2	51	50	49	50	00:00.18	00:00.18	00:00.20	00:00.19	101	101	106	104
35	0:00:00.66	0:00:23.07	35	91	95	91	2	43.94934	44.06529	8.06	282.39	143	143	135	197	215	316	198	33	34	01:21.91	01:21.62	318	351	321	2	2	241	8.5	210	7.4	50	50	50	50	00:00.19	00:00.18	00:00.20	00:00.19	107	101	106	104
36	0:00:00.66	0:00:23.73	36	91	95	91	2	44.04853	44.06483	8.08	290.46	144	144	135	198	215	318	198	34	34	01:21.72	01:21.62	320	351	321	2	2	242	8.7	211	7.6	52	50	48	50	00:00.19	00:00.18	00:00.19	00:00.19	104	101	104	104
37	0:00:00.66	0:00:24.39	37	91	95	91	2	44.59305	44.07912	8.18	298.64	144	144	135	205	215	322	199	35	34	01:20.73	01:21.59	331	351	322	2	2	249	9.0	219	7.8	51	50	49	50	00:00.18	00:00.18	00:00.19	00:00.19	98	101	104	104
38	0:00:00.66	0:00:25.05	38	91	95	91	2	44.33074	44.08575	8.13	306.76	146	146	136	201	215	325	199	34	34	01:21.20	01:21.58	326	351	322	2	2	246	9.2	215	8.1	49	50	51	50	00:00.19	00:00.18	00:00.18	00:00.19	104	101	98	104
39	0:00:00.66	0:00:25.71	39	91	95	91	2	44.14349	44.08723	8.09	314.86	144	146	136	199	215	314	199	34	34	01:21.55	01:21.58	322	351	322	2	2	243	9.5	213	8.3	50	50	50	50	00:00.19	00:00.18	00:00.20	00:00.19	104	101	109	104
40	0:00:00.66	0:00:26.37	40	91	95	91	2	44.31653	44.09297	8.12	322.98	145	146	136	201	215	324	199	34	34	01:21.23	01:21.57	326	351	322	2	2	245	9.7	215	8.5	51	50	49	50	00:00.19	00:00.18	00:00.19	00:00.19	104	101	104	104
