Index	Elapsed time [h:mm:ss.hh]	Elapsed time total [h:mm:ss.hh]	Turns number [Nr]	Cadence [rpm]	Cadence peak [rpm]	Cadence average [rpm]	Circ. pedal velocity [m/s]	Speed [km/h]	Avr speed [km/h]	Distance [m]	Distance total [m]	Heart rate [bpm]	Heart rate peak [bpm]	Heart rate average [bpm]	Force per revolution [N]	Force peak total [N]	Force peak [N]	Avr force [N]	Torque [Nm]	Avr torque [Nm]	Pace/1000m [sec]	Avr pace/1000m [sec]	Power [W]	Power peak [W]	Avr power [W]	Power/Kg [W/Kg]	Avr power/Kg [W/Kg]	Calories [cal]	Calories total [Kcal]	Work [J]	Work total [KJ]	Left leg percent [%]	Total left leg percent [%]	Right leg percent [%]	Total right leg percent [%]	Left time to force peak [mm:ss:00]	Total left time to force peak [mm:ss:00]	Right time to force peak [mm:ss:00]	Total right time to force peak [mm:ss:00]	Left angle to force peak [°]	Total left angle to force peak [°]	Right angle to force peak [°]	Total right angle to force peak [°]
1	0:00:01.49	0:00:01.49	1	40	40	40	1	20.34677	20.34677	8.42	8.42	157	157	157	55	55	106	55	9	9	02:56.93	02:56.93	40	40	40	0	0	147	0.1	59	0.1	57	57	43	43	00:00.39	00:00.39	00:00.33	00:00.33	88	88	86	86
2	0:00:01.24	0:00:02.73	2	48	48	44	1	19.34479	19.89166	6.66	15.08	157	157	157	40	55	73	48	7	8	03:06.09	03:00.88	35	40	37	0	0	116	0.3	43	0.1	53	55	47	45	00:00.35	00:00.37	00:00.28	00:00.30	100	93	83	84
3	0:00:01.12	0:00:03.85	3	54	54	47	1	20.07188	19.94409	6.24	21.33	155	157	156	40	55	75	46	7	8	02:59.35	03:00.43	38	40	38	0	0	109	0.4	43	0.1	54	55	46	45	00:00.35	00:00.36	00:00.27	00:00.29	111	98	88	86
4	0:00:01.06	0:00:04.91	4	57	57	49	1	19.87104	19.92832	5.85	27.18	153	157	155	37	55	78	44	6	7	03:01.16	03:00.59	37	40	37	0	0	102	0.5	39	0.2	61	56	39	44	00:00.35	00:00.36	00:00.26	00:00.28	119	102	88	86
5	0:00:01.04	0:00:05.95	5	58	58	50	1	18.84094	19.73825	5.44	32.62	153	157	155	31	55	68	42	5	7	03:11.07	03:02.27	32	40	37	0	0	95	0.6	33	0.2	59	57	41	43	00:00.27	00:00.34	00:00.25	00:00.27	97	102	83	86
6	0:00:06.31	0:00:12.26	6	10	58	29	0	7.71525	13.55023	13.52	46.15	147	157	154	17	55	159	29	3	5	07:46.60	03:51.14	3	40	19	0	0	401	1.0	18	0.2	--	57	--	43	--	00:00.34	--	00:00.27	--	102	--	86
7	0:00:01.07	0:00:13.33	7	56	58	32	1	21.68670	14.20335	6.45	52.59	142	157	152	47	55	82	30	8	5	02:46.00	03:41.93	47	47	21	0	0	113	1.1	50	0.3	48	55	52	45	00:00.25	00:00.32	00:00.27	00:00.27	83	99	92	87
8	0:00:01.00	0:00:14.33	8	60	60	33	1	21.09355	14.68417	5.86	58.45	145	157	151	41	55	78	31	7	5	02:50.66	03:36.28	44	47	23	0	0	103	1.2	44	0.3	46	54	54	46	00:00.23	00:00.31	00:00.25	00:00.27	83	97	90	87
9	0:00:00.98	0:00:15.31	9	61	61	35	1	19.67011	15.00332	5.35	63.81	142	157	150	33	55	88	31	6	5	03:03.01	03:33.43	36	47	24	0	0	93	1.3	35	0.4	32	52	68	48	00:00.28	00:00.30	00:00.30	00:00.27	103	98	110	90
10	0:00:00.94	0:00:16.25	10	64	64	37	1	21.81693	15.39746	5.70	69.50	143	157	149	42	55	86	32	7	5	02:45.00	03:29.01	48	48	25	0	0	100	1.4	45	0.4	38	50	62	50	00:00.21	00:00.29	00:00.24	00:00.27	80	96	92	90
11	0:00:00.91	0:00:17.16	11	66	66	38	1	21.68145	15.73070	5.48	74.98	147	157	149	40	55	75	32	7	6	02:46.04	03:25.58	47	48	26	0	0	96	1.5	43	0.5	42	50	58	50	00:00.36	00:00.30	00:00.21	00:00.26	141	100	84	89
12	0:00:00.89	0:00:18.05	12	67	67	40	1	21.14583	15.99771	5.23	80.21	147	157	149	37	55	77	33	6	6	02:50.24	03:23.14	44	48	27	0	0	91	1.6	39	0.5	41	49	59	51	00:00.35	00:00.30	00:00.23	00:00.26	140	103	94	90
13	0:00:00.89	0:00:18.94	13	67	67	41	1	20.56204	16.21219	5.08	85.29	142	157	148	34	55	66	33	6	6	02:55.07	03:21.42	41	48	28	0	0	89	1.7	36	0.5	42	49	58	51	00:00.33	00:00.31	00:00.22	00:00.25	135	105	88	90
14	0:00:00.87	0:00:19.81	14	69	69	42	1	20.89595	16.41789	5.05	90.34	148	157	148	35	55	59	33	6	6	02:52.28	03:19.72	43	48	29	0	0	88	1.7	37	0.6	51	49	49	51	00:00.32	00:00.31	00:00.20	00:00.25	134	107	82	89
15	0:00:00.88	0:00:20.69	15	68	69	43	1	20.72350	16.60102	5.07	95.41	143	157	148	34	55	70	33	6	6	02:53.71	03:18.30	42	48	29	0	0	89	1.8	37	0.6	47	49	53	51	00:00.23	00:00.30	00:00.22	00:00.25	94	106	90	89
16	0:00:00.87	0:00:21.56	16	69	69	45	1	21.62716	16.80383	5.23	100.64	143	157	148	38	55	65	33	6	6	02:46.45	03:16.54	47	48	30	0	0	92	1.9	41	0.6	46	48	54	52	00:00.19	00:00.29	00:00.25	00:00.25	80	105	102	90
17	0:00:00.85	0:00:22.41	17	71	71	46	1	22.11402	17.00525	5.22	105.86	145	157	147	39	55	62	33	7	6	02:42.79	03:14.74	50	50	31	0	0	92	2.0	42	0.7	51	49	49	51	00:00.17	00:00.28	00:00.21	00:00.24	73	103	88	90
18	0:00:00.85	0:00:23.26	18	71	71	46	1	20.91790	17.14823	4.94	110.80	141	157	147	34	55	61	33	6	6	02:52.10	03:13.71	43	50	31	0	0	86	2.1	36	0.7	48	49	52	51	00:00.19	00:00.28	00:00.21	00:00.24	81	102	88	90
19	0:00:00.85	0:00:24.11	19	71	71	47	1	21.60834	17.30547	5.10	115.90	141	157	147	37	55	64	33	6	6	02:46.60	03:12.45	47	50	32	0	0	90	2.2	40	0.8	46	48	54	52	00:00.19	00:00.27	00:00.19	00:00.24	81	101	80	89
20	0:00:00.84	0:00:24.95	20	71	71	48	1	22.32907	17.47460	5.21	121.11	141	157	146	40	55	67	34	7	6	02:41.22	03:11.00	51	51	32	0	0	92	2.3	43	0.8	49	48	51	52	00:00.22	00:00.27	00:00.19	00:00.24	94	101	81	89
21	0:00:00.83	0:00:25.78	21	72	72	49	1	22.13615	17.62468	5.10	126.21	141	157	146	39	55	61	34	7	6	02:42.62	03:09.77	50	51	33	0	0	90	2.4	41	0.8	49	48	51	52	00:00.18	00:00.27	00:00.22	00:00.24	79	100	94	89
22	0:00:00.82	0:00:26.60	22	73	73	50	1	22.82217	17.78491	5.20	131.41	139	157	146	41	55	77	34	7	6	02:37.74	03:08.39	54	54	33	0	0	92	2.5	44	0.9	46	48	54	52	00:00.20	00:00.26	00:00.22	00:00.23	88	99	97	89
23	0:00:00.82	0:00:27.42	23	73	73	50	1	22.30039	17.91994	5.08	136.49	140	157	146	39	55	72	34	7	6	02:41.43	03:07.32	51	54	34	0	0	90	2.6	42	0.9	45	48	55	52	00:00.18	00:00.26	00:00.21	00:00.23	79	98	92	89
24	0:00:00.81	0:00:28.23	24	74	74	51	1	21.62230	18.02617	4.87	141.36	139	157	145	35	55	59	34	6	6	02:46.49	03:06.58	47	54	34	0	0	85	2.6	38	1.0	46	48	54	52	00:00.16	00:00.25	00:00.20	00:00.23	72	97	88	89
25	0:00:00.82	0:00:29.05	25	73	74	52	1	21.35041	18.12001	4.86	146.22	136	157	145	35	55	62	34	6	6	02:48.61	03:05.97	45	54	35	0	0	85	2.7	37	1.0	45	48	55	52	00:00.20	00:00.25	00:00.22	00:00.23	90	97	94	90
26	0:00:00.81	0:00:29.86	26	74	74	52	1	22.82380	18.24761	5.14	151.35	137	157	145	41	55	69	34	7	6	02:37.73	03:04.93	54	54	35	0	0	91	2.8	44	1.0	56	48	44	52	00:00.20	00:00.25	00:00.18	00:00.23	90	97	79	89
27	0:00:00.80	0:00:30.66	27	75	75	53	1	22.67845	18.36322	5.04	156.39	138	157	144	40	55	66	35	7	6	02:38.74	03:04.03	53	54	36	0	0	89	2.9	43	1.1	48	48	52	52	00:00.28	00:00.25	00:00.18	00:00.23	126	98	81	89
28	0:00:00.81	0:00:31.47	28	74	75	53	1	21.90935	18.45449	4.93	161.32	138	157	144	37	55	55	35	6	6	02:44.31	03:03.40	48	54	36	0	0	87	3.0	39	1.1	51	48	49	52	00:00.19	00:00.25	00:00.20	00:00.23	86	98	88	89
29	0:00:00.81	0:00:32.28	29	74	75	54	1	21.59890	18.53339	4.86	166.18	136	157	144	35	55	64	35	6	6	02:46.67	03:02.90	47	54	36	0	0	85	3.1	38	1.2	40	48	60	52	00:00.28	00:00.25	00:00.22	00:00.22	126	98	97	89
30	0:00:00.81	0:00:33.09	30	74	75	54	1	21.68753	18.61060	4.88	171.06	136	157	143	36	55	55	35	6	6	02:45.99	03:02.41	47	54	36	0	0	86	3.2	38	1.2	48	48	52	52	00:00.18	00:00.25	00:00.22	00:00.22	81	98	97	89
31	0:00:00.81	0:00:33.90	31	74	75	55	1	21.80563	18.68694	4.91	175.97	137	157	143	36	55	60	35	6	6	02:45.09	03:01.91	48	54	37	0	0	86	3.3	39	1.2	48	48	52	52	00:00.20	00:00.24	00:00.20	00:00.22	90	98	88	89
32	0:00:00.81	0:00:34.71	32	74	75	55	1	22.85858	18.78429	5.14	181.11	134	157	143	41	55	65	35	7	6	02:37.49	03:01.17	54	54	37	0	0	91	3.3	44	1.3	47	48	53	52	00:00.18	00:00.24	00:00.21	00:00.22	81	97	92	89
33	0:00:00.80	0:00:35.51	33	75	75	56	1	23.00971	18.87949	5.11	186.23	135	157	143	41	55	70	35	7	6	02:36.45	03:00.44	55	55	38	0	0	91	3.4	44	1.3	47	48	53	52	00:00.31	00:00.24	00:00.18	00:00.22	140	98	81	89
34	0:00:00.80	0:00:36.31	34	75	75	56	1	23.18186	18.97428	5.15	191.38	134	157	142	42	55	75	35	7	6	02:35.29	02:59.71	56	56	38	0	0	92	3.5	45	1.4	45	48	55	52	00:00.18	00:00.24	00:00.18	00:00.22	81	98	81	89
35	0:00:00.78	0:00:37.09	35	77	77	57	1	22.85478	19.05589	4.95	196.33	136	157	142	40	55	64	35	7	6	02:37.51	02:59.11	54	56	38	0	0	88	3.6	42	1.4	49	48	51	52	00:00.16	00:00.24	00:00.19	00:00.22	74	97	88	89
36	0:00:00.79	0:00:37.88	36	76	77	57	1	23.25120	19.14338	5.10	201.43	133	157	142	42	55	61	35	7	6	02:34.83	02:58.45	57	57	39	0	0	91	3.7	45	1.5	48	48	52	52	00:00.00	00:00.23	00:00.20	00:00.22	0	95	90	89
37	0:00:00.78	0:00:38.66	37	77	77	57	1	22.04333	19.20189	4.78	206.21	133	157	142	36	55	59	35	6	6	02:43.31	02:58.09	49	57	39	0	0	84	3.8	38	1.5	48	48	52	52	00:00.30	00:00.23	00:00.19	00:00.22	138	96	88	89
38	0:00:00.79	0:00:39.45	38	76	77	58	1	22.72178	19.27238	4.99	211.19	136	157	142	39	55	63	35	7	6	02:38.43	02:57.60	53	57	39	0	0	88	3.9	42	1.5	49	48	51	52	00:00.31	00:00.24	00:00.20	00:00.22	143	97	90	89
39	0:00:00.78	0:00:40.23	39	77	77	58	1	22.85474	19.34183	4.95	216.14	136	157	141	40	55	64	36	7	6	02:37.51	02:57.12	54	57	39	0	0	88	4.0	42	1.6	48	48	52	52	00:00.19	00:00.23	00:00.18	00:00.22	88	97	83	89
40	0:00:00.79	0:00:41.02	40	76	77	59	1	22.74604	19.40740	4.99	221.14	134	157	141	40	55	73	36	7	6	02:38.26	02:56.67	54	57	40	0	0	88	4.1	42	1.6	45	48	55	52	00:00.32	00:00.24	00:00.20	00:00.22	148	98	90	89
41	0:00:00.78	0:00:41.80	41	77	77	59	1	22.48611	19.46484	4.87	226.01	135	157	141	38	55	59	36	6	6	02:40.09	02:56.30	52	57	40	0	0	86	4.1	40	1.7	51	48	49	52	00:00.19	00:00.24	00:00.20	00:00.21	90	98	90	89
42	0:00:00.78	0:00:42.58	42	77	77	59	1	23.07816	19.53104	5.00	231.01	134	157	141	41	55	64	36	7	6	02:35.99	02:55.83	56	57	40	0	0	89	4.2	43	1.7	48	48	52	52	00:00.19	00:00.23	00:00.21	00:00.21	88	98	97	89
43	0:00:00.78	0:00:43.36	43	77	77	60	1	22.80112	19.58986	4.94	235.95	131	157	141	39	55	55	36	7	6	02:37.88	02:55.44	54	57	41	0	0	88	4.3	42	1.8	53	48	47	52	00:00.32	00:00.24	00:00.19	00:00.21	148	99	88	89
44	0:00:00.78	0:00:44.14	44	77	77	60	1	23.08909	19.65170	5.00	240.95	137	157	141	41	55	59	36	7	6	02:35.91	02:55.01	56	57	41	0	0	89	4.4	44	1.8	52	48	48	52	00:00.18	00:00.23	00:00.17	00:00.21	83	98	78	89
45	0:00:00.78	0:00:44.92	45	77	77	60	1	22.48845	19.70095	4.87	245.82	133	157	140	38	55	51	36	6	6	02:40.08	02:54.71	52	57	41	0	0	86	4.5	41	1.8	50	48	50	52	00:00.30	00:00.24	00:00.20	00:00.21	142	99	90	89
46	0:00:00.77	0:00:45.69	46	78	78	60	1	23.46667	19.76442	5.02	250.84	132	157	140	42	55	62	36	7	6	02:33.40	02:54.25	58	58	41	0	0	90	4.6	45	1.9	53	48	47	52	00:00.29	00:00.24	00:00.18	00:00.21	137	100	83	89
47	0:00:00.78	0:00:46.47	47	77	78	61	1	22.99390	19.81862	4.98	255.83	134	157	140	40	55	61	36	7	6	02:36.56	02:53.89	55	58	42	0	0	89	4.7	43	1.9	50	48	50	52	00:00.18	00:00.24	00:00.21	00:00.21	85	100	95	89
48	0:00:00.77	0:00:47.24	48	78	78	61	1	22.44587	19.86145	4.80	260.63	134	157	140	37	55	55	36	6	6	02:40.38	02:53.63	52	58	42	0	0	85	4.8	40	2.0	51	48	49	52	00:00.16	00:00.23	00:00.19	00:00.21	76	99	88	89
49	0:00:00.78	0:00:48.02	49	77	78	61	1	23.11235	19.91425	5.01	265.63	131	157	140	41	55	60	36	7	6	02:35.76	02:53.28	56	58	42	0	0	89	4.8	44	2.0	52	48	48	52	00:00.30	00:00.24	00:00.19	00:00.21	138	100	88	89
50	0:00:00.77	0:00:48.79	50	78	78	61	1	23.16508	19.96556	4.95	270.59	132	157	140	41	55	65	36	7	6	02:35.40	02:52.93	56	58	42	0	0	88	4.9	43	2.1	54	49	46	51	00:00.30	00:00.24	00:00.20	00:00.21	142	101	92	89
51	0:00:00.77	0:00:49.56	51	78	78	62	1	23.18712	20.01561	4.96	275.55	132	157	139	41	55	62	36	7	6	02:35.25	02:52.60	56	58	42	0	0	88	5.0	43	2.1	51	49	49	51	00:00.17	00:00.24	00:00.19	00:00.21	81	100	88	89
52	0:00:00.77	0:00:50.33	52	78	78	62	1	22.51804	20.05389	4.82	280.36	133	157	139	38	55	54	36	6	6	02:39.87	02:52.37	52	58	43	0	0	85	5.1	40	2.1	52	49	48	51	00:00.19	00:00.23	00:00.34	00:00.21	90	100	157	90
53	0:00:00.78	0:00:51.11	53	77	78	62	1	23.12656	20.10079	5.01	285.38	136	157	139	41	55	60	36	7	6	02:35.66	02:52.06	56	58	43	0	0	89	5.2	44	2.2	53	49	47	51	00:00.19	00:00.23	00:00.33	00:00.21	88	100	152	91
54	0:00:00.77	0:00:51.88	54	78	78	62	1	21.71802	20.12479	4.65	290.02	132	157	139	34	55	48	36	6	6	02:45.76	02:51.96	47	58	43	0	0	82	5.3	36	2.2	51	49	49	51	00:00.17	00:00.23	00:00.37	00:00.22	81	100	171	92
55	0:00:00.79	0:00:52.67	55	76	78	63	1	22.20182	20.15594	4.87	294.89	132	157	139	37	55	54	36	6	6	02:42.14	02:51.80	50	58	43	0	0	86	5.4	40	2.3	45	49	55	51	00:00.00	00:00.23	00:00.18	00:00.22	0	98	81	92
56	0:00:00.78	0:00:53.45	56	77	78	63	1	22.30718	20.18734	4.83	299.73	132	157	139	37	55	57	36	6	6	02:41.38	02:51.63	51	58	43	0	0	85	5.4	40	2.3	51	49	49	51	00:00.30	00:00.23	00:00.18	00:00.22	138	99	83	92
57	0:00:00.79	0:00:54.24	57	76	78	63	1	23.15770	20.23060	5.08	304.81	132	157	139	42	55	69	37	7	6	02:35.45	02:51.35	56	58	43	0	0	90	5.5	44	2.3	47	49	53	51	00:00.33	00:00.23	00:00.18	00:00.21	152	99	81	92
58	0:00:00.78	0:00:55.02	58	77	78	63	1	23.20485	20.27276	5.03	309.84	132	157	139	41	55	63	37	7	6	02:35.13	02:51.07	57	58	43	0	0	90	5.6	44	2.4	50	49	50	51	00:00.17	00:00.23	00:00.21	00:00.21	78	99	97	92
59	0:00:00.78	0:00:55.80	59	77	78	63	1	23.58160	20.31902	5.11	314.94	133	157	138	43	55	69	37	7	6	02:32.66	02:50.75	59	59	44	0	0	91	5.7	46	2.4	50	49	50	51	00:00.30	00:00.23	00:00.19	00:00.21	138	100	88	92
60	0:00:00.76	0:00:56.56	60	79	79	64	1	23.61929	20.36336	4.99	319.93	131	157	138	42	55	59	37	7	6	02:32.41	02:50.45	59	59	44	0	0	89	5.8	45	2.5	54	49	46	51	00:00.18	00:00.23	00:00.19	00:00.21	85	100	90	92
61	0:00:00.77	0:00:57.33	61	78	79	64	1	23.67256	20.40781	5.06	324.99	133	157	138	43	55	59	37	7	6	02:32.07	02:50.14	60	60	44	0	0	91	5.9	46	2.5	53	49	47	51	00:00.17	00:00.23	00:00.19	00:00.21	81	99	88	92
62	0:00:00.76	0:00:58.09	62	79	79	64	1	23.90051	20.45350	5.05	330.04	133	157	138	44	55	60	37	7	6	02:30.62	02:49.82	61	61	44	0	0	91	6.0	47	2.6	50	49	50	51	00:00.18	00:00.23	00:00.19	00:00.21	88	99	88	92
63	0:00:00.75	0:00:58.84	63	80	80	64	1	23.17526	20.48820	4.83	334.87	129	157	138	40	55	57	37	7	6	02:35.33	02:49.60	56	61	44	0	0	86	6.1	42	2.6	53	49	47	51	00:00.32	00:00.23	00:00.33	00:00.21	156	100	156	93
64	0:00:00.76	0:00:59.60	64	79	80	64	1	22.78916	20.51754	4.81	339.68	130	157	138	38	55	63	37	7	6	02:37.96	02:49.44	54	61	45	0	0	85	6.2	41	2.7	57	49	43	51	00:00.17	00:00.23	00:00.35	00:00.22	81	100	166	94
